A;RO;RO;2013;10768;e;This is a comment, This is another comment
A;RO;RO;2014;10777;;This is a comment, This is another comment
A;RO;RO;2015;10770;;This is a comment, This is another comment
A;RO;RO;2016;10774;;This is a comment, This is another comment
A;RO;RO;2017;10774;;This is a comment, This is another comment
A;RO;RO1;2013;2997;b;This is a comment, This is another comment
A;RO;RO1;2014;3001;;This is a comment, This is another comment
A;RO;RO1;2015;2997;;This is a comment, This is another comment
A;RO;RO1;2016;3001;;This is a comment, This is another comment
A;RO;RO1;2017;3001;;This is a comment, This is another comment
A;RO;RO11;2013;1668;p;This is a comment, This is another comment
A;RO;RO11;2014;1668;;This is a comment, This is another comment
A;RO;RO11;2015;1668;;This is a comment, This is another comment
A;RO;RO11;2016;1668;;This is a comment, This is another comment
A;RO;RO11;2017;1668;;This is a comment, This is another comment
A;RO;RO12;2013;1329;;This is a comment, This is another comment
A;RO;RO12;2014;1333;;This is a comment, This is another comment
A;RO;RO12;2015;1329;;This is a comment, This is another comment
A;RO;RO12;2016;1333;;This is a comment, This is another comment
A;RO;RO12;2017;1333;;This is a comment, This is another comment
A;RO;RO2;2013;3365;;This is a comment, This is another comment
A;RO;RO2;2014;3368;;This is a comment, This is another comment
A;RO;RO2;2015;3365;;This is a comment, This is another comment
A;RO;RO2;2016;3369;;This is a comment, This is another comment
A;RO;RO2;2017;3369;;This is a comment, This is another comment
A;RO;RO21;2013;1620;;This is a comment, This is another comment
A;RO;RO21;2014;1621;;This is a comment, This is another comment
A;RO;RO21;2015;1620;;This is a comment, This is another comment
A;RO;RO21;2016;1621;;This is a comment, This is another comment
A;RO;RO21;2017;1621;;This is a comment, This is another comment
A;RO;RO22;2013;1745;;This is a comment, This is another comment
A;RO;RO22;2014;1747;;This is a comment, This is another comment
A;RO;RO22;2015;1745;;This is a comment, This is another comment
A;RO;RO22;2016;1748;;This is a comment, This is another comment
A;RO;RO22;2017;1748;;This is a comment, This is another comment
A;RO;RO3;2013;1530;;This is a comment, This is another comment
A;RO;RO3;2014;1530;;This is a comment, This is another comment
A;RO;RO3;2015;1530;;This is a comment, This is another comment
A;RO;RO3;2016;1526;;This is a comment, This is another comment
A;RO;RO3;2017;1526;;This is a comment, This is another comment
A;RO;RO31;2013;1251;;This is a comment, This is another comment
A;RO;RO31;2014;1251;;This is a comment, This is another comment
A;RO;RO31;2015;1251;;This is a comment, This is another comment
A;RO;RO31;2016;1247;;This is a comment, This is another comment
A;RO;RO31;2017;1247;;This is a comment, This is another comment
A;RO;RO32;2013;279;;This is a comment, This is another comment
A;RO;RO32;2014;279;;This is a comment, This is another comment
A;RO;RO32;2015;279;;This is a comment, This is another comment
A;RO;RO32;2016;279;;This is a comment, This is another comment
A;RO;RO32;2017;279;;This is a comment, This is another comment
A;RO;RO4;2013;2876;;This is a comment, This is another comment
A;RO;RO4;2014;2878;;This is a comment, This is another comment
A;RO;RO4;2015;2878;;This is a comment, This is another comment
A;RO;RO4;2016;2878;;This is a comment, This is another comment
A;RO;RO4;2017;2878;;This is a comment, This is another comment
A;RO;RO41;2013;988;;This is a comment, This is another comment
A;RO;RO41;2014;990;;This is a comment, This is another comment
A;RO;RO41;2015;990;;This is a comment, This is another comment
A;RO;RO41;2016;990;;This is a comment, This is another comment
A;RO;RO41;2017;990;;This is a comment, This is another comment
A;RO;RO42;2013;1888;;This is a comment, This is another comment
A;RO;RO42;2014;1888;;This is a comment, This is another comment
A;RO;RO42;2015;1888;;This is a comment, This is another comment
A;RO;RO42;2016;1888;;This is a comment, This is another comment
A;RO;RO42;2017;1888;;This is a comment, This is another comment
